Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hm5,GDE.Q.EI24.nsq,GFCF - Residential (Nominal q/q% s.a.),Gross fixed capital formationNominal q/q% s.a.,Gross fixed capital formation,GFCF - Residential (Nominal q/q% s.a.),% s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI24.nay,GFCF - Residential (Nominal y/y%),Gross fixed capital formationNominal y/y%,Gross fixed capital formation,GFCF - Residential (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI24.RA,GFCF - Residential (Real $m),Gross fixed capital formationReal $m,Gross fixed capital formation,GFCF - Residential (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI24.RS,GFCF - Residential (Real $m s.a.),Gross fixed capital formationReal $m s.a.,Gross fixed capital formation,GFCF - Residential (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI24.rsq,GFCF - Residential (Real q/q% s.a.),Gross fixed capital formationReal q/q% s.a.,Gross fixed capital formation,GFCF - Residential (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI24.ray,GFCF - Residential (Real y/y%),Gross fixed capital formationReal y/y%,Gross fixed capital formation,GFCF - Residential (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI25.NA,GFCF - Other Fixed Assets (Nominal $m),Gross fixed capital formationNominal $m,Gross fixed capital formation,GFCF - Other (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI25.NS,GFCF - Other Fixed Assets (Nominal $m s.a.),Gross fixed capital formationNominal $m s.a.,Gross fixed capital formation,GFCF - Other (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI25.nsq,GFCF - Other Fixed Assets (Nominal q/q% s.a.),Gross fixed capital formationNominal q/q% s.a.,Gross fixed capital formation,GFCF - Other (Nominal q/q% s.a.),% s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI25.nay,GFCF - Other Fixed Assets (Nominal y/y%),Gross fixed capital formationNominal y/y%,Gross fixed capital formation,GFCF - Other (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI25.RA,GFCF - Other Fixed Assets (Real $m),Gross fixed capital formationReal $m,Gross fixed capital formation,GFCF - Other (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI25.RS,GFCF - Other Fixed Assets (Real $m s.a.),Gross fixed capital formationReal $m s.a.,Gross fixed capital formation,GFCF - Other (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI25.rsq,GFCF - Other Fixed Assets (Real q/q% s.a.),Gross fixed capital formationReal q/q% s.a.,Gross fixed capital formation,GFCF - Other (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI25.ray,GFCF - Other Fixed Assets (Real y/y%),Gross fixed capital formationReal y/y%,Gross fixed capital formation,GFCF - Other (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EY1.NA,GNE (Nominal $m),Consumption expenditureNominal $m,Consumption expenditure,GNE  (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EY1.NS,GNE (Nominal $m s.a.),Consumption expenditureNominal $m s.a.,Consumption expenditure,GNE  (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EY1.nsq,GNE (Nominal q/q% s.a.),Consumption expenditureNominal q/q% s.a.,Consumption expenditure,GNE  (Nominal q/q% s.a.),% s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EY1.nay,GNE (Nominal y/y%),Consumption expenditureNominal y/y%,Consumption expenditure,GNE  (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EY1.RA,GNE (Real $m),Consumption expenditureReal $m,Consumption expenditure,GNE  (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EY1.RS,GNE (Real $m s.a.),Consumption expenditureReal $m s.a.,Consumption expenditure,GNE  (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EY1.rsq,GNE (Real q/q% s.a.),Consumption expenditureReal q/q% s.a.,Consumption expenditure,GNE  (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EY1.ray,GNE (Real y/y%),Consumption expenditureReal y/y%,Consumption expenditure,GNE  (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EX.NA,Export of G&S (Nominal $m),Import/Export of G&SNominal $m,Import/Export of G&S,Exports G&S (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EX.NS,Export of G&S (Nominal $m s.a.),Import/Export of G&SNominal $m s.a.,Import/Export of G&S,Exports G&S (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
