Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/02/2007,Gisborne,Holiday Parks,12.00,1735.00,48580.00,13.51,14742.00,6987.00,6565.00,0.00,0.00
1/07/2018,Waikato,Holiday Parks,20.00,1898.00,58838.00,11.16,14524.00,7182.00,6565.00,0.00,0.00
1/10/2017,Taupo,Holiday Parks,10.00,1229.00,38099.00,17.23,16703.00,6993.00,6566.00,0.00,0.00
1/11/2009,Manawatu,Hotels,24.00,587.00,17610.00,37.29,9141.00,5484.00,6567.00,0.00,0.00
1/03/2012,Waitaki,Hotels,11.00,434.00,13454.00,48.81,10921.00,7436.00,6567.00,0.00,0.00
1/01/2009,MaCkenzie,Hotels,5.00,397.00,12307.00,53.37,12875.00,0.00,6568.00,0.00,0.00
1/07/2016,Waikato,Backpackers,14.00,830.00,25730.00,25.53,6782.00,3351.00,6568.00,0.00,0.00
1/09/2017,Waikato,Holiday Parks,23.00,2006.00,60180.00,10.91,12299.00,7675.00,6568.00,0.00,0.00
1/06/2019,Waikato,Holiday Parks,21.00,1942.00,58260.00,11.28,12323.00,5562.00,6569.00,0.00,0.00
1/03/2016,Manawatu,Hotels,17.00,501.00,15531.00,42.30,9862.00,6159.00,6570.00,0.00,0.00
1/08/2002,Queenstown,Holiday Parks,8.00,1524.00,47244.00,13.91,11100.00,3955.00,6571.00,0.00,0.00
1/04/2008,Marlborough,Holiday Parks,17.00,1313.00,39390.00,16.68,14465.00,8756.00,6571.00,0.00,0.00
1/04/2019,Dunedin,Backpackers,8.00,460.00,13800.00,47.62,7668.00,3506.00,6572.00,0.00,0.00
1/05/2001,Gisborne,Motels,30.00,491.00,15221.00,43.18,10296.00,6416.00,6572.00,0.00,0.00
1/05/2002,Coromandel,Holiday Parks,24.00,3114.00,96534.00,6.81,11774.00,6913.00,6573.00,0.00,0.00
1/09/2018,Hawke's Bay,Holiday Parks,20.00,1507.00,45210.00,14.54,14599.00,4190.00,6574.00,0.00,0.00
1/02/2012,Marlborough,Hotels,17.00,379.00,10991.00,59.81,11754.00,7474.00,6574.00,0.00,0.00
1/03/2014,Hurunui,Motels,27.00,395.00,12245.00,53.70,14220.00,9818.00,6576.00,0.00,0.00
1/04/2002,Wanaka,Holiday Parks,6.00,1278.00,38340.00,17.16,13868.00,7228.00,6578.00,0.00,0.00
1/08/2017,Ruapehu,Hotels,8.00,387.00,11997.00,54.84,14865.00,7583.00,6579.00,0.00,0.00
1/03/2002,Wanganui,Motels,23.00,429.00,13299.00,49.48,12242.00,6779.00,6580.00,0.00,0.00
1/11/2005,Bay of Plenty ,Backpackers,10.00,400.00,12000.00,54.84,6610.00,2913.00,6581.00,0.00,0.00
1/04/2016,MaCkenzie,Backpackers,6.00,384.00,11520.00,57.13,7788.00,6662.00,6581.00,0.00,0.00
1/11/2015,Taupo,Holiday Parks,9.00,1291.00,38730.00,16.99,13051.00,6714.00,6581.00,0.00,0.00
1/06/2006,Southland,Motels,37.00,537.00,16110.00,40.86,11257.00,5980.00,6583.00,0.00,0.00
1/02/2004,Taupo,Hotels,9.00,425.00,12325.00,53.41,13954.00,8375.00,6583.00,0.00,0.00
1/08/2019,Waikato,Holiday Parks,21.00,1900.00,58900.00,11.18,12740.00,5944.00,6584.00,0.00,0.00
1/02/2013,Southland,Hotels,19.00,481.00,13468.00,48.89,9794.00,6019.00,6584.00,0.00,0.00
1/12/2004,Wanganui,Motels,25.00,462.00,14322.00,45.97,12446.00,7103.00,6584.00,0.00,0.00
1/03/2008,Hurunui,Motels,23.00,344.00,10664.00,61.74,15091.00,9576.00,6584.00,0.00,0.00
1/05/2017,Rotorua,Holiday Parks,10.00,1387.00,42997.00,15.32,14683.00,5574.00,6585.00,0.00,0.00
1/06/2010,Manawatu,Hotels,22.00,556.00,16680.00,39.48,9214.00,5697.00,6585.00,0.00,0.00
1/06/2016,Taranaki,Hotels,18.00,592.00,17760.00,37.08,9886.00,5923.00,6586.00,0.00,0.00
1/08/2003,Taupo,Holiday Parks,12.00,1660.00,51460.00,12.80,12728.00,6720.00,6587.00,0.00,0.00
1/02/2017,Hurunui,Holiday Parks,11.00,762.00,21336.00,30.87,14688.00,7099.00,6587.00,0.00,0.00
1/06/2012,Bay of Plenty ,Backpackers,16.00,927.00,27810.00,23.69,6774.00,2407.00,6589.00,0.00,0.00
1/01/2006,Nelson-Tasman,Hotels,19.00,394.00,12214.00,53.95,12186.00,6171.00,6590.00,0.00,0.00
1/06/2003,Bay of Plenty ,Holiday Parks,21.00,3083.00,92490.00,7.13,15190.00,3919.00,6591.00,0.00,0.00
1/12/2015,Marlborough,Hotels,15.00,386.00,11966.00,55.08,12297.00,7055.00,6591.00,0.00,0.00
1/08/2018,Gisborne,Motels,30.00,443.00,13733.00,48.00,10390.00,5853.00,6592.00,0.00,0.00
1/11/2004,Fiordland,Motels,20.00,336.00,10080.00,65.40,14322.00,9653.00,6592.00,0.00,0.00
1/05/2014,Hawke's Bay,Hotels,17.00,534.00,16554.00,39.83,9519.00,5948.00,6593.00,0.00,0.00
1/09/2003,Taupo,Hotels,10.00,462.00,13860.00,47.57,12584.00,6939.00,6593.00,0.00,0.00
1/07/2011,West Coast,Hotels,34.00,999.00,30969.00,21.30,10113.00,7430.00,6596.00,0.00,0.00
1/10/2005,Hawke's Bay,Backpackers,16.00,712.00,22072.00,29.89,6739.00,2988.00,6598.00,0.00,0.00
1/12/2012,Nelson-Tasman,Hotels,15.00,476.00,14756.00,44.71,12014.00,7085.00,6598.00,0.00,0.00
1/11/2014,Wanaka,Holiday Parks,6.00,1580.00,47400.00,13.92,14134.00,7244.00,6598.00,0.00,0.00
1/11/2010,Taupo,Holiday Parks,10.00,1347.00,40410.00,16.33,12491.00,7688.00,6598.00,0.00,0.00
1/12/2004,Waitaki,Holiday Parks,9.00,3849.00,119319.00,5.53,15165.00,8557.00,6598.00,0.00,0.00
1/08/2016,Rotorua,Holiday Parks,10.00,1389.00,43059.00,15.33,14209.00,4627.00,6599.00,0.00,0.00
1/05/2007,Coromandel,Motels,65.00,709.00,21979.00,30.02,11853.00,6527.00,6599.00,0.00,0.00
1/11/2005,Gisborne,Motels,31.00,429.00,12870.00,51.27,11007.00,6849.00,6599.00,0.00,0.00
1/03/2018,Southland,Backpackers,13.00,464.00,14384.00,45.88,7607.00,4014.00,6600.00,0.00,0.00
1/11/2004,Waitaki,Hotels,11.00,429.00,12870.00,51.28,9693.00,6160.00,6600.00,0.00,0.00
1/02/2003,Taranaki,Hotels,22.00,415.00,11620.00,56.82,9044.00,2932.00,6602.00,0.00,0.00
1/11/2018,Ruapehu,Backpackers,14.00,946.00,28380.00,23.26,9527.00,5683.00,6602.00,0.00,0.00
1/06/2005,Taupo,Hotels,10.00,499.00,14970.00,44.11,12279.00,6710.00,6604.00,0.00,0.00
1/02/2010,Waitaki,Hotels,11.00,435.00,12180.00,54.22,11655.00,8718.00,6605.00,0.00,0.00
1/05/2010,Hawke's Bay,Backpackers,17.00,747.00,23157.00,28.53,7001.00,1957.00,6606.00,0.00,0.00
1/09/2018,West Coast,Backpackers,22.00,1222.00,36660.00,18.02,8530.00,6109.00,6607.00,0.00,0.00
1/02/2012,Waitaki,Holiday Parks,11.00,3633.00,105357.00,6.27,13989.00,7809.00,6607.00,0.00,0.00
1/04/2007,Southland,Hotels,20.00,488.00,14640.00,45.14,9767.00,5257.00,6608.00,0.00,0.00
1/02/2011,Wanganui,Motels,23.00,401.00,11228.00,58.85,12678.00,6994.00,6608.00,0.00,0.00
1/10/2002,Coromandel,Motels,63.00,633.00,19623.00,33.68,13830.00,8815.00,6609.00,0.00,0.00
1/06/2012,Nelson-Tasman,Holiday Parks,20.00,3416.00,102480.00,6.45,12669.00,6082.00,6610.00,0.00,0.00
1/08/2018,Manawatu,Hotels,15.00,494.00,15314.00,43.16,9535.00,6803.00,6610.00,0.00,0.00
1/09/2011,West Coast,Holiday Parks,17.00,1669.00,50070.00,13.20,12653.00,10185.00,6610.00,0.00,0.00
1/05/2015,Taranaki,Hotels,17.00,507.00,15717.00,42.06,9186.00,5892.00,6611.00,0.00,0.00
1/05/2016,Gisborne,Motels,32.00,473.00,14663.00,45.09,10155.00,5981.00,6611.00,0.00,0.00
1/04/2008,Gisborne,Motels,33.00,464.00,13920.00,47.50,11264.00,6975.00,6612.00,0.00,0.00
1/03/2002,Fiordland,Motels,17.00,253.00,7843.00,84.30,14232.00,9026.00,6612.00,0.00,0.00
1/07/2019,Taupo,Backpackers,13.00,894.00,27714.00,23.86,8861.00,4753.00,6613.00,0.00,0.00
1/05/2005,Southland,Motels,39.00,496.00,15376.00,43.01,10700.00,6512.00,6613.00,0.00,0.00
1/12/2016,Dunedin,Holiday Parks,6.00,488.00,15128.00,43.72,16187.00,9194.00,6614.00,0.00,0.00
1/02/2017,Whakatane-Kawerau,Holiday Parks,7.00,1386.00,38808.00,17.04,15828.00,5411.00,6615.00,0.00,0.00
1/10/2002,Queenstown,Holiday Parks,8.00,1524.00,47244.00,14.00,13318.00,7110.00,6615.00,0.00,0.00
1/10/2015,Gisborne,Motels,33.00,485.00,15035.00,44.00,10851.00,6878.00,6616.00,0.00,0.00
1/08/2019,Northland,Backpackers,24.00,1088.00,33728.00,19.62,8510.00,2660.00,6617.00,0.00,0.00
1/05/2003,Coromandel,Holiday Parks,23.00,2944.00,91264.00,7.25,14704.00,5273.00,6618.00,0.00,0.00
1/08/2007,Rotorua,Holiday Parks,13.00,1511.00,46841.00,14.13,13312.00,7389.00,6618.00,0.00,0.00
1/05/2015,Bay of Plenty ,Hotels,8.00,466.00,14446.00,45.82,10459.00,5941.00,6619.00,0.00,0.00
1/11/2015,Wanaka,Holiday Parks,6.00,1520.00,45600.00,14.52,14890.00,9189.00,6620.00,0.00,0.00
1/01/2011,Timaru,Holiday Parks,7.00,837.00,25947.00,25.52,15980.00,6384.00,6621.00,0.00,0.00
1/02/2014,Dunedin,Holiday Parks,6.00,527.00,14756.00,44.87,14832.00,8932.00,6621.00,0.00,0.00
1/01/2007,Hurunui,Motels,22.00,337.00,10447.00,63.38,15721.00,10458.00,6621.00,0.00,0.00
1/08/2017,Rotorua,Holiday Parks,10.00,1386.00,42966.00,15.41,14622.00,5102.00,6622.00,0.00,0.00
1/02/2019,Whakatane-Kawerau,Motels,21.00,305.00,8540.00,77.54,13110.00,6088.00,6622.00,0.00,0.00
1/11/2018,Manawatu,Hotels,14.00,478.00,14340.00,46.18,9551.00,6685.00,6622.00,0.00,0.00
1/02/2019,Ruapehu,Backpackers,13.00,938.00,26264.00,25.22,9612.00,5142.00,6624.00,0.00,0.00
1/09/2016,Wanaka,Motels,20.00,335.00,10050.00,65.91,16439.00,7793.00,6624.00,0.00,0.00
1/02/2012,Manawatu,Hotels,20.00,543.00,15747.00,42.07,10497.00,6119.00,6625.00,0.00,0.00
1/06/2016,Bay of Plenty ,Hotels,8.00,463.00,13890.00,47.70,10567.00,6918.00,6625.00,0.00,0.00
1/11/2011,Wanaka,Backpackers,9.00,623.00,18690.00,35.46,7312.00,5022.00,6627.00,0.00,0.00
1/03/2009,Nelson-Tasman,Hotels,12.00,427.00,13237.00,50.06,10813.00,6428.00,6627.00,0.00,0.00
1/04/2015,Nelson-Tasman,Hotels,14.00,457.00,13710.00,48.33,11694.00,6501.00,6627.00,0.00,0.00
1/11/2014,Manawatu,Hotels,19.00,537.00,16110.00,41.15,9135.00,5880.00,6629.00,0.00,0.00
1/12/2006,MaCkenzie,Backpackers,6.00,328.00,10168.00,65.19,8366.00,7303.00,6629.00,0.00,0.00
1/01/2019,Southland,Backpackers,14.00,484.00,15004.00,44.19,8300.00,5289.00,6630.00,0.00,0.00
1/07/2012,Northland,Backpackers,25.00,1199.00,37169.00,17.84,7593.00,3892.00,6631.00,0.00,0.00
1/12/2008,Timaru,Holiday Parks,7.00,845.00,26195.00,25.32,15096.00,6414.00,6632.00,0.00,0.00
1/01/2002,Coromandel,Backpackers,11.00,350.00,10850.00,61.13,7752.00,4176.00,6633.00,0.00,0.00
1/08/2010,Manawatu,Hotels,22.00,556.00,17236.00,38.48,9136.00,5366.00,6633.00,0.00,0.00
1/06/2010,AuCkland,Holiday Parks,23.00,2801.00,84030.00,7.90,12409.00,5681.00,6634.00,0.00,0.00
1/06/2015,Northland,Backpackers,24.00,1154.00,34620.00,19.17,6911.00,2221.00,6635.00,0.00,0.00
1/04/2006,Marlborough,Holiday Parks,16.00,1273.00,38190.00,17.37,14805.00,9551.00,6635.00,0.00,0.00
1/07/2013,Bay of Plenty ,Hotels,9.00,481.00,14911.00,44.50,11043.00,5645.00,6636.00,0.00,0.00
1/12/2008,Southland,Holiday Parks,13.00,1113.00,34503.00,19.23,13456.00,8432.00,6636.00,0.00,0.00
1/02/2014,Southland,Hotels,19.00,473.00,13244.00,50.12,10036.00,6108.00,6638.00,0.00,0.00
1/11/2003,Queenstown,Holiday Parks,8.00,1563.00,46890.00,14.16,13881.00,7897.00,6638.00,0.00,0.00
1/08/2014,Timaru,Motels,28.00,378.00,11718.00,56.65,11231.00,6613.00,6639.00,0.00,0.00
1/09/2006,Waikato,Holiday Parks,22.00,1936.00,58080.00,11.43,12703.00,7182.00,6639.00,0.00,0.00
1/06/2004,Marlborough,Backpackers,16.00,652.00,19560.00,33.95,7149.00,3355.00,6640.00,0.00,0.00
1/08/2015,Manawatu,Hotels,18.00,529.00,16399.00,40.49,9126.00,5473.00,6640.00,0.00,0.00
1/03/2019,Ruapehu,Hotels,9.00,402.00,12462.00,53.29,12914.00,8241.00,6641.00,0.00,0.00
1/09/2010,Nelson-Tasman,Holiday Parks,19.00,3363.00,100890.00,6.58,14218.00,6826.00,6642.00,0.00,0.00
1/05/2014,Waikato,Backpackers,15.00,831.00,25761.00,25.79,8532.00,4682.00,6645.00,0.00,0.00
1/04/2011,Manawatu,Hotels,20.00,544.00,16320.00,40.72,9747.00,5252.00,6645.00,0.00,0.00
1/05/2015,Waikato,Backpackers,13.00,786.00,24366.00,27.28,7300.00,3970.00,6646.00,0.00,0.00
1/08/2009,Queenstown,Holiday Parks,7.00,1219.00,37789.00,17.59,16679.00,6662.00,6646.00,0.00,0.00
1/08/2016,Wanaka,Holiday Parks,6.00,1520.00,47120.00,14.11,10342.00,4139.00,6647.00,0.00,0.00
1/10/2002,Marlborough,Backpackers,19.00,674.00,20894.00,31.81,6918.00,4458.00,6647.00,0.00,0.00
1/12/2008,MaCkenzie,Backpackers,6.00,330.00,10230.00,64.98,8068.00,6279.00,6647.00,0.00,0.00
1/12/2009,MaCkenzie,Holiday Parks,4.00,571.00,17701.00,37.55,15822.00,12233.00,6647.00,0.00,0.00
1/11/2007,Coromandel,Backpackers,19.00,668.00,20040.00,33.17,7349.00,4469.00,6648.00,0.00,0.00
1/11/2004,Southland,Hotels,21.00,460.00,13800.00,48.17,9432.00,6101.00,6648.00,0.00,0.00
1/09/2019,Wanaka,Motels,23.00,349.00,10470.00,63.50,16778.00,7129.00,6648.00,0.00,0.00
1/07/2004,Bay of Plenty ,Holiday Parks,19.00,2788.00,86428.00,7.69,14381.00,5044.00,6650.00,0.00,0.00
1/11/2001,Waikato,Holiday Parks,20.00,1826.00,54780.00,12.14,12001.00,6592.00,6651.00,0.00,0.00
1/11/2009,Hawke's Bay,Hotels,14.00,476.00,14280.00,46.57,11370.00,7288.00,6651.00,0.00,0.00
1/02/2013,Dunedin,Holiday Parks,6.00,553.00,15484.00,42.95,14674.00,9901.00,6651.00,0.00,0.00
1/03/2008,Wanaka,Motels,28.00,323.00,10013.00,66.43,14904.00,7843.00,6652.00,0.00,0.00
1/08/2018,Waikato,Backpackers,13.00,799.00,24769.00,26.86,7029.00,3958.00,6653.00,0.00,0.00
1/11/2018,Waitaki,Hotels,10.00,423.00,12690.00,52.43,11117.00,10343.00,6653.00,0.00,0.00
1/06/2017,Waikato,Holiday Parks,23.00,1994.00,59820.00,11.12,14128.00,7731.00,6654.00,0.00,0.00
1/12/2013,MaCkenzie,Holiday Parks,4.00,617.00,19127.00,34.79,16393.00,10324.00,6654.00,0.00,0.00
1/09/2009,Nelson-Tasman,Holiday Parks,20.00,3628.00,108840.00,6.11,14817.00,7715.00,6655.00,0.00,0.00
1/12/2006,Dunedin,Holiday Parks,7.00,583.00,18073.00,36.82,16085.00,10015.00,6655.00,0.00,0.00
1/09/2004,West Coast,Holiday Parks,13.00,1106.00,33180.00,20.06,16958.00,11941.00,6655.00,0.00,0.00
1/03/2012,Southland,Hotels,19.00,473.00,14663.00,45.42,9417.00,6026.00,6660.00,0.00,0.00
1/07/2019,MaCkenzie,Motels,20.00,586.00,18166.00,36.66,16988.00,10887.00,6661.00,0.00,0.00
1/02/2018,Whakatane-Kawerau,Motels,21.00,305.00,8540.00,78.01,12060.00,6262.00,6662.00,0.00,0.00
1/06/2017,Manawatu,Hotels,15.00,493.00,14790.00,45.05,9639.00,6795.00,6662.00,0.00,0.00
1/04/2019,Waitaki,Motels,24.00,335.00,10050.00,66.28,12148.00,9026.00,6662.00,0.00,0.00
1/05/2009,Dunedin,Backpackers,12.00,546.00,16926.00,39.37,7028.00,4068.00,6663.00,0.00,0.00
1/06/2006,Taranaki,Hotels,16.00,407.00,12210.00,54.57,8865.00,4970.00,6663.00,0.00,0.00
1/08/2001,Southland,Motels,37.00,398.00,12338.00,54.00,11403.00,6370.00,6663.00,0.00,0.00
1/08/2002,Taupo,Hotels,9.00,458.00,14198.00,46.93,11983.00,7234.00,6663.00,0.00,0.00
1/03/2014,Wanaka,Motels,23.00,348.00,10788.00,61.77,15662.00,7901.00,6664.00,0.00,0.00
1/07/2001,Nelson-Tasman,Backpackers,15.00,644.00,19964.00,33.39,6990.00,3427.00,6666.00,0.00,0.00
1/01/2015,Taranaki,Hotels,16.00,492.00,15252.00,43.72,11679.00,6181.00,6668.00,0.00,0.00
1/08/2005,Gisborne,Motels,32.00,461.00,14291.00,46.66,10635.00,6300.00,6668.00,0.00,0.00
1/03/2003,Southland,Holiday Parks,12.00,981.00,30411.00,21.93,10358.00,6107.00,6669.00,0.00,0.00
1/06/2007,Gisborne,Motels,32.00,454.00,13620.00,48.96,11133.00,6362.00,6669.00,0.00,0.00
1/11/2001,MaCkenzie,Motels,15.00,339.00,10170.00,65.58,13089.00,10175.00,6669.00,0.00,0.00
1/03/2019,Whakatane-Kawerau,Motels,21.00,305.00,9455.00,70.56,11771.00,6171.00,6671.00,0.00,0.00
1/09/2016,Coromandel,Motels,65.00,694.00,20820.00,32.04,13530.00,8142.00,6671.00,0.00,0.00
1/02/2005,Waitaki,Holiday Parks,9.00,3849.00,107772.00,6.19,14117.00,9302.00,6671.00,0.00,0.00
1/05/2018,Coromandel,Motels,61.00,695.00,21545.00,30.97,11305.00,6689.00,6672.00,0.00,0.00
1/12/2010,Taupo,Hotels,10.00,564.00,17484.00,38.16,12931.00,7096.00,6672.00,0.00,0.00
1/07/2010,Wanaka,Motels,23.00,358.00,11098.00,60.13,17402.00,5845.00,6673.00,0.00,0.00
1/10/2001,Fiordland,Hotels,6.00,544.00,16864.00,39.57,12110.00,7944.00,6673.00,0.00,0.00
1/06/2019,Waikato,Backpackers,14.00,811.00,24330.00,27.43,7406.00,4280.00,6674.00,0.00,0.00
1/07/2015,Timaru,Motels,27.00,381.00,11811.00,56.51,10165.00,5651.00,6674.00,0.00,0.00
1/07/2004,Marlborough,Backpackers,15.00,594.00,18414.00,36.25,7210.00,3581.00,6675.00,0.00,0.00
1/01/2009,Bay of Plenty ,Hotels,10.00,420.00,13020.00,51.27,16188.00,6688.00,6676.00,0.00,0.00
1/07/2015,Manawatu,Hotels,17.00,526.00,16306.00,40.95,9594.00,5819.00,6677.00,0.00,0.00
1/01/2017,Waitaki,Motels,22.00,296.00,9176.00,72.77,13656.00,10085.00,6678.00,0.00,0.00
1/12/2007,Timaru,Motels,29.00,366.00,11346.00,58.88,13068.00,8030.00,6680.00,0.00,0.00
1/12/2007,MaCkenzie,Backpackers,6.00,330.00,10230.00,65.31,8258.00,6189.00,6681.00,0.00,0.00
1/04/2008,Southland,Hotels,21.00,502.00,15060.00,44.37,9598.00,5773.00,6682.00,0.00,0.00
1/11/2010,Gisborne,Motels,34.00,476.00,14280.00,46.80,11069.00,6296.00,6683.00,0.00,0.00
1/07/2017,Wanaka,Holiday Parks,6.00,1520.00,47120.00,14.19,12329.00,4891.00,6684.00,0.00,0.00
1/05/2011,Timaru,Motels,27.00,351.00,10881.00,61.43,10333.00,6349.00,6684.00,0.00,0.00
1/11/2009,Waikato,Holiday Parks,22.00,1957.00,58710.00,11.38,12688.00,8447.00,6684.00,0.00,0.00
1/01/2008,Wanganui,Motels,23.00,384.00,11904.00,56.16,13887.00,7430.00,6685.00,0.00,0.00
1/05/2007,Dunedin,Backpackers,11.00,500.00,15500.00,43.14,6990.00,3725.00,6687.00,0.00,0.00
1/12/2018,Coromandel,Backpackers,12.00,633.00,19623.00,34.08,8087.00,5473.00,6687.00,0.00,0.00
1/06/2019,Wanaka,Backpackers,9.00,553.00,16590.00,40.32,7183.00,3832.00,6689.00,0.00,0.00
1/10/2014,Taranaki,Hotels,16.00,492.00,15252.00,43.85,10779.00,5603.00,6689.00,0.00,0.00
1/11/2010,Manawatu,Hotels,22.00,544.00,16320.00,40.99,9451.00,5234.00,6690.00,0.00,0.00
1/09/2015,Wanaka,Motels,21.00,349.00,10470.00,63.91,12523.00,6269.00,6691.00,0.00,0.00
1/12/2018,Waitaki,Motels,24.00,335.00,10385.00,64.43,12581.00,9129.00,6691.00,0.00,0.00
1/09/2009,Wanaka,Hotels,10.00,499.00,14970.00,44.70,14322.00,4125.00,6692.00,0.00,0.00
1/11/2008,Waikato,Backpackers,15.00,591.00,17730.00,37.74,7467.00,4191.00,6692.00,0.00,0.00
1/04/2016,Nelson-Tasman,Hotels,14.00,451.00,13530.00,49.46,10954.00,5090.00,6692.00,0.00,0.00
1/07/2019,Southland,Hotels,19.00,497.00,15407.00,43.43,8884.00,5156.00,6692.00,0.00,0.00
1/03/2014,Taupo,Holiday Parks,9.00,1291.00,40021.00,16.72,14438.00,7803.00,6692.00,0.00,0.00
1/11/2009,Southland,Hotels,20.00,494.00,14820.00,45.16,9598.00,5853.00,6693.00,0.00,0.00
1/06/2017,Gisborne,Motels,32.00,477.00,14310.00,46.78,11166.00,6585.00,6694.00,0.00,0.00
1/02/2004,Bay of Plenty ,Backpackers,11.00,393.00,11397.00,58.74,7357.00,3219.00,6695.00,0.00,0.00
1/02/2019,Manawatu,Hotels,14.00,478.00,13384.00,50.02,10247.00,6779.00,6695.00,0.00,0.00
1/03/2001,Hawke's Bay,Backpackers,10.00,326.00,10106.00,66.26,6735.00,2925.00,6696.00,0.00,0.00
1/04/2015,Ruapehu,Backpackers,13.00,967.00,29010.00,23.08,8359.00,4429.00,6696.00,0.00,0.00
1/07/2008,Taranaki,Hotels,15.00,409.00,12679.00,52.82,9205.00,5487.00,6697.00,0.00,0.00
1/06/2017,West Coast,Hotels,31.00,1045.00,31350.00,21.36,11827.00,9080.00,6697.00,0.00,0.00
1/01/2018,Waitaki,Hotels,10.00,423.00,13113.00,51.07,11647.00,10912.00,6697.00,0.00,0.00
1/11/2017,Manawatu,Hotels,15.00,494.00,14820.00,45.20,9860.00,6834.00,6699.00,0.00,0.00
1/04/2010,Bay of Plenty ,Hotels,11.00,458.00,13740.00,48.76,12408.00,6632.00,6700.00,0.00,0.00
1/10/2011,Hawke's Bay,Holiday Parks,21.00,2022.00,62682.00,10.69,15320.00,7765.00,6701.00,0.00,0.00
1/10/2010,Gisborne,Motels,34.00,476.00,14756.00,45.42,12142.00,7319.00,6702.00,0.00,0.00
1/03/2014,Dunedin,Holiday Parks,6.00,527.00,16337.00,41.03,13494.00,6928.00,6703.00,0.00,0.00
1/10/2005,Gisborne,Motels,32.00,461.00,14291.00,46.90,12470.00,7274.00,6703.00,0.00,0.00
1/02/2004,Manawatu,Hotels,23.00,544.00,15776.00,42.49,9418.00,5123.00,6704.00,0.00,0.00
1/05/2015,Manawatu,Hotels,17.00,508.00,15748.00,42.57,9196.00,6105.00,6704.00,0.00,0.00
1/07/2007,Taupo,Hotels,10.00,499.00,15469.00,43.34,13419.00,7670.00,6704.00,0.00,0.00
1/02/2004,Wanaka,Motels,20.00,276.00,8004.00,83.76,14063.00,9203.00,6704.00,0.00,0.00
1/03/2015,Waitaki,Motels,24.00,306.00,9486.00,70.68,12520.00,9487.00,6705.00,0.00,0.00
1/07/2011,Marlborough,Backpackers,19.00,814.00,25234.00,26.58,7238.00,3601.00,6706.00,0.00,0.00
1/07/2008,Queenstown,Holiday Parks,7.00,1219.00,37789.00,17.75,18310.00,7194.00,6706.00,0.00,0.00
1/04/2003,Fiordland,Hotels,5.00,516.00,15480.00,43.33,12565.00,6298.00,6708.00,0.00,0.00
1/02/2010,Bay of Plenty ,Hotels,11.00,452.00,12656.00,53.03,12503.00,6119.00,6711.00,0.00,0.00
1/05/2003,Manawatu,Hotels,24.00,713.00,22103.00,30.37,8973.00,5132.00,6712.00,0.00,0.00
1/05/2004,Rotorua,Holiday Parks,14.00,1656.00,51336.00,13.07,12803.00,6862.00,6712.00,0.00,0.00
1/11/2017,MaCkenzie,Holiday Parks,5.00,629.00,18870.00,35.57,16761.00,13086.00,6712.00,0.00,0.00
1/12/2006,Nelson-Tasman,Hotels,16.00,387.00,11997.00,55.96,10453.00,5003.00,6714.00,0.00,0.00
1/07/2001,Wanaka,Backpackers,9.00,438.00,13578.00,49.46,9403.00,3385.00,6715.00,0.00,0.00
1/01/2014,Dunedin,Holiday Parks,6.00,526.00,16306.00,41.20,17770.00,6824.00,6717.00,0.00,0.00
1/02/2003,Manawatu,Hotels,25.00,721.00,20188.00,33.28,9787.00,5334.00,6718.00,0.00,0.00
1/09/2011,Gisborne,Motels,34.00,467.00,14010.00,47.95,11472.00,6276.00,6718.00,0.00,0.00
1/10/2014,Fiordland,Hotels,6.00,559.00,17329.00,38.77,12714.00,6586.00,6718.00,0.00,0.00
1/10/2016,Wanaka,Holiday Parks,6.00,1520.00,47120.00,14.26,12832.00,7514.00,6718.00,0.00,0.00
1/12/2005,Taupo,Hotels,10.00,498.00,15438.00,43.52,14219.00,8182.00,6718.00,0.00,0.00
1/03/2019,Hurunui,Motels,26.00,386.00,11966.00,56.14,13829.00,9354.00,6718.00,0.00,0.00
1/12/2004,Fiordland,Motels,21.00,340.00,10540.00,63.74,15847.00,9826.00,6718.00,0.00,0.00
1/09/2006,West Coast,Holiday Parks,15.00,1290.00,38700.00,17.36,15040.00,10972.00,6718.00,0.00,0.00
1/05/2019,Marlborough,Holiday Parks,15.00,1158.00,35898.00,18.72,9881.00,3877.00,6720.00,0.00,0.00
1/01/2018,Southland,Backpackers,12.00,433.00,13423.00,50.07,7921.00,4455.00,6720.00,0.00,0.00
1/04/2015,Taranaki,Holiday Parks,12.00,1172.00,35160.00,19.11,13419.00,4863.00,6720.00,0.00,0.00
1/08/2015,Taupo,Hotels,8.00,511.00,15841.00,42.42,13475.00,5912.00,6720.00,0.00,0.00
1/08/2016,Gisborne,Motels,32.00,473.00,14663.00,45.83,11066.00,6086.00,6720.00,0.00,0.00
1/11/2017,Waitaki,Motels,22.00,307.00,9210.00,72.96,11480.00,8225.00,6720.00,0.00,0.00
1/11/2008,Southland,Hotels,21.00,500.00,15000.00,44.81,9786.00,5971.00,6721.00,0.00,0.00
1/04/2016,Southland,Hotels,19.00,512.00,15360.00,43.76,10225.00,6384.00,6721.00,0.00,0.00
1/06/2006,Waikato,Backpackers,16.00,608.00,18240.00,36.86,8089.00,4179.00,6723.00,0.00,0.00
