STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2002,2002,134,Caravan/camping,01,Domestic,Thousand,293
HTA05C1,Number of Trips by Irish Residents,2002,2002,134,Caravan/camping,02,Outbound,Thousand,161
HTA05C1,Number of Trips by Irish Residents,2002,2002,222,Friends/relatives,01,Domestic,Thousand,2359
HTA05C1,Number of Trips by Irish Residents,2002,2002,222,Friends/relatives,02,Outbound,Thousand,1095
HTA05C1,Number of Trips by Irish Residents,2002,2002,224,Own holiday home,01,Domestic,Thousand,289
HTA05C1,Number of Trips by Irish Residents,2002,2002,224,Own holiday home,02,Outbound,Thousand,80
HTA05C1,Number of Trips by Irish Residents,2002,2002,92,Guest house/bed &breakfast,01,Domestic,Thousand,729
HTA05C1,Number of Trips by Irish Residents,2002,2002,92,Guest house/bed &breakfast,02,Outbound,Thousand,254
HTA05C1,Number of Trips by Irish Residents,2002,2002,93,Hotel/conference centre,01,Domestic,Thousand,2041
HTA05C1,Number of Trips by Irish Residents,2002,2002,93,Hotel/conference centre,02,Outbound,Thousand,1868
HTA05C1,Number of Trips by Irish Residents,2002,2002,94,Self catering/rented house,01,Domestic,Thousand,494
HTA05C1,Number of Trips by Irish Residents,2002,2002,94,Self catering/rented house,02,Outbound,Thousand,934
HTA05C1,Number of Trips by Irish Residents,2002,2002,999,Other,01,Domestic,Thousand,246
HTA05C1,Number of Trips by Irish Residents,2002,2002,999,Other,02,Outbound,Thousand,206
HTA05C2,Number of Nights by Irish Residents,2002,2002,-,All types of accommodation,01,Domestic,Thousand,22222
HTA05C2,Number of Nights by Irish Residents,2002,2002,-,All types of accommodation,02,Outbound,Thousand,40660
HTA05C2,Number of Nights by Irish Residents,2002,2002,134,Caravan/camping,01,Domestic,Thousand,1706
HTA05C2,Number of Nights by Irish Residents,2002,2002,134,Caravan/camping,02,Outbound,Thousand,2231
HTA05C2,Number of Nights by Irish Residents,2002,2002,222,Friends/relatives,01,Domestic,Thousand,6912
HTA05C2,Number of Nights by Irish Residents,2002,2002,222,Friends/relatives,02,Outbound,Thousand,8996
HTA05C2,Number of Nights by Irish Residents,2002,2002,224,Own holiday home,01,Domestic,Thousand,1742
HTA05C2,Number of Nights by Irish Residents,2002,2002,224,Own holiday home,02,Outbound,Thousand,969
HTA05C2,Number of Nights by Irish Residents,2002,2002,92,Guest house/bed &breakfast,01,Domestic,Thousand,2038
HTA05C2,Number of Nights by Irish Residents,2002,2002,92,Guest house/bed &breakfast,02,Outbound,Thousand,1873
HTA05C2,Number of Nights by Irish Residents,2002,2002,93,Hotel/conference centre,01,Domestic,Thousand,5357
HTA05C2,Number of Nights by Irish Residents,2002,2002,93,Hotel/conference centre,02,Outbound,Thousand,12570
HTA05C2,Number of Nights by Irish Residents,2002,2002,94,Self catering/rented house,01,Domestic,Thousand,3168
HTA05C2,Number of Nights by Irish Residents,2002,2002,94,Self catering/rented house,02,Outbound,Thousand,11276
HTA05C2,Number of Nights by Irish Residents,2002,2002,999,Other,01,Domestic,Thousand,1298
HTA05C2,Number of Nights by Irish Residents,2002,2002,999,Other,02,Outbound,Thousand,2745
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,-,All types of accommodation,01,Domestic,Nights per Trip,3.4
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,-,All types of accommodation,02,Outbound,Nights per Trip,8.8
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,134,Caravan/camping,01,Domestic,Nights per Trip,5.8
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,134,Caravan/camping,02,Outbound,Nights per Trip,13.9
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,222,Friends/relatives,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,222,Friends/relatives,02,Outbound,Nights per Trip,8.2
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,224,Own holiday home,01,Domestic,Nights per Trip,6
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,224,Own holiday home,02,Outbound,Nights per Trip,12.1
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.8
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.4
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.7
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,94,Self catering/rented house,01,Domestic,Nights per Trip,6.4
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,94,Self catering/rented house,02,Outbound,Nights per Trip,12.1
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,999,Other,01,Domestic,Nights per Trip,5.3
HTA05C3,Average Length of Stay by Irish Residents,2002,2002,999,Other,02,Outbound,Nights per Trip,13.3
HTA05C1,Number of Trips by Irish Residents,2003,2003,-,All types of accommodation,01,Domestic,Thousand,6657
HTA05C1,Number of Trips by Irish Residents,2003,2003,-,All types of accommodation,02,Outbound,Thousand,4974
HTA05C1,Number of Trips by Irish Residents,2003,2003,134,Caravan/camping,01,Domestic,Thousand,282
HTA05C1,Number of Trips by Irish Residents,2003,2003,134,Caravan/camping,02,Outbound,Thousand,168
HTA05C1,Number of Trips by Irish Residents,2003,2003,222,Friends/relatives,01,Domestic,Thousand,2363
HTA05C1,Number of Trips by Irish Residents,2003,2003,222,Friends/relatives,02,Outbound,Thousand,1123
HTA05C1,Number of Trips by Irish Residents,2003,2003,224,Own holiday home,01,Domestic,Thousand,259
HTA05C1,Number of Trips by Irish Residents,2003,2003,224,Own holiday home,02,Outbound,Thousand,99
HTA05C1,Number of Trips by Irish Residents,2003,2003,92,Guest house/bed &breakfast,01,Domestic,Thousand,720
HTA05C1,Number of Trips by Irish Residents,2003,2003,92,Guest house/bed &breakfast,02,Outbound,Thousand,289
HTA05C1,Number of Trips by Irish Residents,2003,2003,93,Hotel/conference centre,01,Domestic,Thousand,2160
