STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C2,Number of Nights by Irish Residents,2010,2010,999,Other,02,Outbound,Thousand,2870
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,-,All types of accommodation,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,-,All types of accommodation,02,Outbound,Nights per Trip,8.3
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,134,Caravan/camping,01,Domestic,Nights per Trip,4.7
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,134,Caravan/camping,02,Outbound,Nights per Trip,14.4
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,222,Friends/relatives,01,Domestic,Nights per Trip,3
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,222,Friends/relatives,02,Outbound,Nights per Trip,8.5
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,224,Own holiday home,01,Domestic,Nights per Trip,4.8
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,224,Own holiday home,02,Outbound,Nights per Trip,12.4
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.4
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.2
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,94,Self catering/rented house,01,Domestic,Nights per Trip,5.1
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,94,Self catering/rented house,02,Outbound,Nights per Trip,11.3
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,999,Other,01,Domestic,Nights per Trip,4.2
HTA05C3,Average Length of Stay by Irish Residents,2010,2010,999,Other,02,Outbound,Nights per Trip,10.9
HTA05C1,Number of Trips by Irish Residents,2011,2011,-,All types of accommodation,01,Domestic,Thousand,7169
HTA05C1,Number of Trips by Irish Residents,2011,2011,-,All types of accommodation,02,Outbound,Thousand,6514
HTA05C1,Number of Trips by Irish Residents,2011,2011,134,Caravan/camping,01,Domestic,Thousand,412
HTA05C1,Number of Trips by Irish Residents,2011,2011,134,Caravan/camping,02,Outbound,Thousand,160
HTA05C1,Number of Trips by Irish Residents,2011,2011,222,Friends/relatives,01,Domestic,Thousand,2259
HTA05C1,Number of Trips by Irish Residents,2011,2011,222,Friends/relatives,02,Outbound,Thousand,1771
HTA05C1,Number of Trips by Irish Residents,2011,2011,224,Own holiday home,01,Domestic,Thousand,573
HTA05C1,Number of Trips by Irish Residents,2011,2011,224,Own holiday home,02,Outbound,Thousand,188
HTA05C1,Number of Trips by Irish Residents,2011,2011,92,Guest house/bed &breakfast,01,Domestic,Thousand,317
HTA05C1,Number of Trips by Irish Residents,2011,2011,92,Guest house/bed &breakfast,02,Outbound,Thousand,206
HTA05C1,Number of Trips by Irish Residents,2011,2011,93,Hotel/conference centre,01,Domestic,Thousand,2845
HTA05C1,Number of Trips by Irish Residents,2011,2011,93,Hotel/conference centre,02,Outbound,Thousand,2725
HTA05C1,Number of Trips by Irish Residents,2011,2011,94,Self catering/rented house,01,Domestic,Thousand,570
HTA05C1,Number of Trips by Irish Residents,2011,2011,94,Self catering/rented house,02,Outbound,Thousand,1215
HTA05C1,Number of Trips by Irish Residents,2011,2011,999,Other,01,Domestic,Thousand,192
HTA05C1,Number of Trips by Irish Residents,2011,2011,999,Other,02,Outbound,Thousand,249
HTA05C2,Number of Nights by Irish Residents,2011,2011,-,All types of accommodation,01,Domestic,Thousand,21628
HTA05C2,Number of Nights by Irish Residents,2011,2011,-,All types of accommodation,02,Outbound,Thousand,54014
HTA05C2,Number of Nights by Irish Residents,2011,2011,134,Caravan/camping,01,Domestic,Thousand,1815
HTA05C2,Number of Nights by Irish Residents,2011,2011,134,Caravan/camping,02,Outbound,Thousand,1867
HTA05C2,Number of Nights by Irish Residents,2011,2011,222,Friends/relatives,01,Domestic,Thousand,6579
HTA05C2,Number of Nights by Irish Residents,2011,2011,222,Friends/relatives,02,Outbound,Thousand,15318
HTA05C2,Number of Nights by Irish Residents,2011,2011,224,Own holiday home,01,Domestic,Thousand,2785
HTA05C2,Number of Nights by Irish Residents,2011,2011,224,Own holiday home,02,Outbound,Thousand,3012
HTA05C2,Number of Nights by Irish Residents,2011,2011,92,Guest house/bed &breakfast,01,Domestic,Thousand,718
HTA05C2,Number of Nights by Irish Residents,2011,2011,92,Guest house/bed &breakfast,02,Outbound,Thousand,1488
HTA05C2,Number of Nights by Irish Residents,2011,2011,93,Hotel/conference centre,01,Domestic,Thousand,5959
HTA05C2,Number of Nights by Irish Residents,2011,2011,93,Hotel/conference centre,02,Outbound,Thousand,16170
HTA05C2,Number of Nights by Irish Residents,2011,2011,94,Self catering/rented house,01,Domestic,Thousand,3040
HTA05C2,Number of Nights by Irish Residents,2011,2011,94,Self catering/rented house,02,Outbound,Thousand,13595
HTA05C2,Number of Nights by Irish Residents,2011,2011,999,Other,01,Domestic,Thousand,731
HTA05C2,Number of Nights by Irish Residents,2011,2011,999,Other,02,Outbound,Thousand,2562
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,-,All types of accommodation,01,Domestic,Nights per Trip,3
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,-,All types of accommodation,02,Outbound,Nights per Trip,8.3
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,134,Caravan/camping,01,Domestic,Nights per Trip,4.4
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,134,Caravan/camping,02,Outbound,Nights per Trip,11.7
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,222,Friends/relatives,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,222,Friends/relatives,02,Outbound,Nights per Trip,8.6
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,224,Own holiday home,01,Domestic,Nights per Trip,4.9
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,224,Own holiday home,02,Outbound,Nights per Trip,16
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.3
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.2
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.1
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.9
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,94,Self catering/rented house,01,Domestic,Nights per Trip,5.3
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,94,Self catering/rented house,02,Outbound,Nights per Trip,11.2
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,999,Other,01,Domestic,Nights per Trip,3.8
HTA05C3,Average Length of Stay by Irish Residents,2011,2011,999,Other,02,Outbound,Nights per Trip,10.3
HTA05C1,Number of Trips by Irish Residents,2012,2012,-,All types of accommodation,01,Domestic,Thousand,8291
HTA05C1,Number of Trips by Irish Residents,2012,2012,-,All types of accommodation,02,Outbound,Thousand,6623
HTA05C1,Number of Trips by Irish Residents,2012,2012,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2012,2012,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2012,2012,222,Friends/relatives,01,Domestic,Thousand,2896
HTA05C1,Number of Trips by Irish Residents,2012,2012,222,Friends/relatives,02,Outbound,Thousand,1661
HTA05C1,Number of Trips by Irish Residents,2012,2012,224,Own holiday home,01,Domestic,Thousand,477
HTA05C1,Number of Trips by Irish Residents,2012,2012,224,Own holiday home,02,Outbound,Thousand,148
HTA05C1,Number of Trips by Irish Residents,2012,2012,92,Guest house/bed &breakfast,01,Domestic,Thousand,367
HTA05C1,Number of Trips by Irish Residents,2012,2012,92,Guest house/bed &breakfast,02,Outbound,Thousand,234
HTA05C1,Number of Trips by Irish Residents,2012,2012,93,Hotel/conference centre,01,Domestic,Thousand,3313
HTA05C1,Number of Trips by Irish Residents,2012,2012,93,Hotel/conference centre,02,Outbound,Thousand,2690
HTA05C1,Number of Trips by Irish Residents,2012,2012,94,Self catering/rented house,01,Domestic,Thousand,644
HTA05C1,Number of Trips by Irish Residents,2012,2012,94,Self catering/rented house,02,Outbound,Thousand,1364
HTA05C1,Number of Trips by Irish Residents,2012,2012,999,Other,01,Domestic,Thousand,594
HTA05C1,Number of Trips by Irish Residents,2012,2012,999,Other,02,Outbound,Thousand,525
HTA05C2,Number of Nights by Irish Residents,2012,2012,-,All types of accommodation,01,Domestic,Thousand,23703
HTA05C2,Number of Nights by Irish Residents,2012,2012,-,All types of accommodation,02,Outbound,Thousand,53112
HTA05C2,Number of Nights by Irish Residents,2012,2012,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2012,2012,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2012,2012,222,Friends/relatives,01,Domestic,Thousand,7935
HTA05C2,Number of Nights by Irish Residents,2012,2012,222,Friends/relatives,02,Outbound,Thousand,14344
HTA05C2,Number of Nights by Irish Residents,2012,2012,224,Own holiday home,01,Domestic,Thousand,1787
HTA05C2,Number of Nights by Irish Residents,2012,2012,224,Own holiday home,02,Outbound,Thousand,2571
HTA05C2,Number of Nights by Irish Residents,2012,2012,92,Guest house/bed &breakfast,01,Domestic,Thousand,934
HTA05C2,Number of Nights by Irish Residents,2012,2012,92,Guest house/bed &breakfast,02,Outbound,Thousand,1931
HTA05C2,Number of Nights by Irish Residents,2012,2012,93,Hotel/conference centre,01,Domestic,Thousand,6977
HTA05C2,Number of Nights by Irish Residents,2012,2012,93,Hotel/conference centre,02,Outbound,Thousand,14492
HTA05C2,Number of Nights by Irish Residents,2012,2012,94,Self catering/rented house,01,Domestic,Thousand,3237
HTA05C2,Number of Nights by Irish Residents,2012,2012,94,Self catering/rented house,02,Outbound,Thousand,14081
HTA05C2,Number of Nights by Irish Residents,2012,2012,999,Other,01,Domestic,Thousand,2833
HTA05C2,Number of Nights by Irish Residents,2012,2012,999,Other,02,Outbound,Thousand,5692
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,-,All types of accommodation,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,-,All types of accommodation,02,Outbound,Nights per Trip,8
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,134,Caravan/camping,01,Domestic,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,134,Caravan/camping,02,Outbound,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,222,Friends/relatives,01,Domestic,Nights per Trip,2.7
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,222,Friends/relatives,02,Outbound,Nights per Trip,8.6
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,224,Own holiday home,01,Domestic,Nights per Trip,3.8
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,224,Own holiday home,02,Outbound,Nights per Trip,17.3
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.5
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,8.2
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.1
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,94,Self catering/rented house,01,Domestic,Nights per Trip,5
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,94,Self catering/rented house,02,Outbound,Nights per Trip,10.3
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,999,Other,01,Domestic,Nights per Trip,4.8
HTA05C3,Average Length of Stay by Irish Residents,2012,2012,999,Other,02,Outbound,Nights per Trip,10.8
HTA05C1,Number of Trips by Irish Residents,2013,2013,-,All types of accommodation,01,Domestic,Thousand,8413
HTA05C1,Number of Trips by Irish Residents,2013,2013,-,All types of accommodation,02,Outbound,Thousand,6575
HTA05C1,Number of Trips by Irish Residents,2013,2013,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2013,2013,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2013,2013,222,Friends/relatives,01,Domestic,Thousand,2956
HTA05C1,Number of Trips by Irish Residents,2013,2013,222,Friends/relatives,02,Outbound,Thousand,1717
HTA05C1,Number of Trips by Irish Residents,2013,2013,224,Own holiday home,01,Domestic,Thousand,407
HTA05C1,Number of Trips by Irish Residents,2013,2013,224,Own holiday home,02,Outbound,Thousand,181
HTA05C1,Number of Trips by Irish Residents,2013,2013,92,Guest house/bed &breakfast,01,Domestic,Thousand,330
HTA05C1,Number of Trips by Irish Residents,2013,2013,92,Guest house/bed &breakfast,02,Outbound,Thousand,171
HTA05C1,Number of Trips by Irish Residents,2013,2013,93,Hotel/conference centre,01,Domestic,Thousand,3382
HTA05C1,Number of Trips by Irish Residents,2013,2013,93,Hotel/conference centre,02,Outbound,Thousand,2873
HTA05C1,Number of Trips by Irish Residents,2013,2013,94,Self catering/rented house,01,Domestic,Thousand,724
HTA05C1,Number of Trips by Irish Residents,2013,2013,94,Self catering/rented house,02,Outbound,Thousand,1182
HTA05C1,Number of Trips by Irish Residents,2013,2013,999,Other,01,Domestic,Thousand,615
HTA05C1,Number of Trips by Irish Residents,2013,2013,999,Other,02,Outbound,Thousand,451
HTA05C2,Number of Nights by Irish Residents,2013,2013,-,All types of accommodation,01,Domestic,Thousand,24195
HTA05C2,Number of Nights by Irish Residents,2013,2013,-,All types of accommodation,02,Outbound,Thousand,51985
HTA05C2,Number of Nights by Irish Residents,2013,2013,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2013,2013,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2013,2013,222,Friends/relatives,01,Domestic,Thousand,7695
HTA05C2,Number of Nights by Irish Residents,2013,2013,222,Friends/relatives,02,Outbound,Thousand,13875
HTA05C2,Number of Nights by Irish Residents,2013,2013,224,Own holiday home,01,Domestic,Thousand,2246
HTA05C2,Number of Nights by Irish Residents,2013,2013,224,Own holiday home,02,Outbound,Thousand,2722
HTA05C2,Number of Nights by Irish Residents,2013,2013,92,Guest house/bed &breakfast,01,Domestic,Thousand,845
HTA05C2,Number of Nights by Irish Residents,2013,2013,92,Guest house/bed &breakfast,02,Outbound,Thousand,1022
HTA05C2,Number of Nights by Irish Residents,2013,2013,93,Hotel/conference centre,01,Domestic,Thousand,6781
HTA05C2,Number of Nights by Irish Residents,2013,2013,93,Hotel/conference centre,02,Outbound,Thousand,15416
HTA05C2,Number of Nights by Irish Residents,2013,2013,94,Self catering/rented house,01,Domestic,Thousand,3714
HTA05C2,Number of Nights by Irish Residents,2013,2013,94,Self catering/rented house,02,Outbound,Thousand,13705
HTA05C2,Number of Nights by Irish Residents,2013,2013,999,Other,01,Domestic,Thousand,2913
HTA05C2,Number of Nights by Irish Residents,2013,2013,999,Other,02,Outbound,Thousand,5245
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,-,All types of accommodation,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,-,All types of accommodation,02,Outbound,Nights per Trip,7.9
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,134,Caravan/camping,01,Domestic,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,134,Caravan/camping,02,Outbound,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,222,Friends/relatives,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,222,Friends/relatives,02,Outbound,Nights per Trip,8.1
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,224,Own holiday home,01,Domestic,Nights per Trip,5.5
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,224,Own holiday home,02,Outbound,Nights per Trip,15
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,93,Hotel/conference centre,01,Domestic,Nights per Trip,2
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,94,Self catering/rented house,01,Domestic,Nights per Trip,5.1
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,94,Self catering/rented house,02,Outbound,Nights per Trip,11.6
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,999,Other,01,Domestic,Nights per Trip,4.7
HTA05C3,Average Length of Stay by Irish Residents,2013,2013,999,Other,02,Outbound,Nights per Trip,11.6
HTA05C1,Number of Trips by Irish Residents,2014,2014,-,All types of accommodation,01,Domestic,Thousand,8991
HTA05C1,Number of Trips by Irish Residents,2014,2014,-,All types of accommodation,02,Outbound,Thousand,6677
HTA05C1,Number of Trips by Irish Residents,2014,2014,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2014,2014,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2014,2014,222,Friends/relatives,01,Domestic,Thousand,2996
HTA05C1,Number of Trips by Irish Residents,2014,2014,222,Friends/relatives,02,Outbound,Thousand,1650
HTA05C1,Number of Trips by Irish Residents,2014,2014,224,Own holiday home,01,Domestic,Thousand,444
HTA05C1,Number of Trips by Irish Residents,2014,2014,224,Own holiday home,02,Outbound,Thousand,123
HTA05C1,Number of Trips by Irish Residents,2014,2014,92,Guest house/bed &breakfast,01,Domestic,Thousand,425
HTA05C1,Number of Trips by Irish Residents,2014,2014,92,Guest house/bed &breakfast,02,Outbound,Thousand,213
HTA05C1,Number of Trips by Irish Residents,2014,2014,93,Hotel/conference centre,01,Domestic,Thousand,3630
HTA05C1,Number of Trips by Irish Residents,2014,2014,93,Hotel/conference centre,02,Outbound,Thousand,3095
HTA05C1,Number of Trips by Irish Residents,2014,2014,94,Self catering/rented house,01,Domestic,Thousand,830
HTA05C1,Number of Trips by Irish Residents,2014,2014,94,Self catering/rented house,02,Outbound,Thousand,1051
HTA05C1,Number of Trips by Irish Residents,2014,2014,999,Other,01,Domestic,Thousand,666
HTA05C1,Number of Trips by Irish Residents,2014,2014,999,Other,02,Outbound,Thousand,545
HTA05C2,Number of Nights by Irish Residents,2014,2014,-,All types of accommodation,01,Domestic,Thousand,26086
HTA05C2,Number of Nights by Irish Residents,2014,2014,-,All types of accommodation,02,Outbound,Thousand,53652
HTA05C2,Number of Nights by Irish Residents,2014,2014,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2014,2014,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2014,2014,222,Friends/relatives,01,Domestic,Thousand,8157
HTA05C2,Number of Nights by Irish Residents,2014,2014,222,Friends/relatives,02,Outbound,Thousand,14160
HTA05C2,Number of Nights by Irish Residents,2014,2014,224,Own holiday home,01,Domestic,Thousand,2018
HTA05C2,Number of Nights by Irish Residents,2014,2014,224,Own holiday home,02,Outbound,Thousand,1698
HTA05C2,Number of Nights by Irish Residents,2014,2014,92,Guest house/bed &breakfast,01,Domestic,Thousand,1100
HTA05C2,Number of Nights by Irish Residents,2014,2014,92,Guest house/bed &breakfast,02,Outbound,Thousand,1376
HTA05C2,Number of Nights by Irish Residents,2014,2014,93,Hotel/conference centre,01,Domestic,Thousand,7207
HTA05C2,Number of Nights by Irish Residents,2014,2014,93,Hotel/conference centre,02,Outbound,Thousand,18078
HTA05C2,Number of Nights by Irish Residents,2014,2014,94,Self catering/rented house,01,Domestic,Thousand,4240
HTA05C2,Number of Nights by Irish Residents,2014,2014,94,Self catering/rented house,02,Outbound,Thousand,11720
HTA05C2,Number of Nights by Irish Residents,2014,2014,999,Other,01,Domestic,Thousand,3364
HTA05C2,Number of Nights by Irish Residents,2014,2014,999,Other,02,Outbound,Thousand,6621
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,-,All types of accommodation,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,-,All types of accommodation,02,Outbound,Nights per Trip,8
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,134,Caravan/camping,01,Domestic,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,134,Caravan/camping,02,Outbound,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,222,Friends/relatives,01,Domestic,Nights per Trip,2.7
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,222,Friends/relatives,02,Outbound,Nights per Trip,8.6
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,224,Own holiday home,01,Domestic,Nights per Trip,4.5
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,224,Own holiday home,02,Outbound,Nights per Trip,13.8
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.4
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,93,Hotel/conference centre,01,Domestic,Nights per Trip,2
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.8
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,94,Self catering/rented house,01,Domestic,Nights per Trip,5.1
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,94,Self catering/rented house,02,Outbound,Nights per Trip,11.1
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,999,Other,01,Domestic,Nights per Trip,5.1
HTA05C3,Average Length of Stay by Irish Residents,2014,2014,999,Other,02,Outbound,Nights per Trip,12.1
HTA05C1,Number of Trips by Irish Residents,2015,2015,-,All types of accommodation,01,Domestic,Thousand,9125
HTA05C1,Number of Trips by Irish Residents,2015,2015,-,All types of accommodation,02,Outbound,Thousand,7094
HTA05C1,Number of Trips by Irish Residents,2015,2015,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2015,2015,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C1,Number of Trips by Irish Residents,2015,2015,222,Friends/relatives,01,Domestic,Thousand,3011
HTA05C1,Number of Trips by Irish Residents,2015,2015,222,Friends/relatives,02,Outbound,Thousand,1680
HTA05C1,Number of Trips by Irish Residents,2015,2015,224,Own holiday home,01,Domestic,Thousand,544
HTA05C1,Number of Trips by Irish Residents,2015,2015,224,Own holiday home,02,Outbound,Thousand,109
HTA05C1,Number of Trips by Irish Residents,2015,2015,92,Guest house/bed &breakfast,01,Domestic,Thousand,475
HTA05C1,Number of Trips by Irish Residents,2015,2015,92,Guest house/bed &breakfast,02,Outbound,Thousand,144
HTA05C1,Number of Trips by Irish Residents,2015,2015,93,Hotel/conference centre,01,Domestic,Thousand,3704
HTA05C1,Number of Trips by Irish Residents,2015,2015,93,Hotel/conference centre,02,Outbound,Thousand,3367
HTA05C1,Number of Trips by Irish Residents,2015,2015,94,Self catering/rented house,01,Domestic,Thousand,827
HTA05C1,Number of Trips by Irish Residents,2015,2015,94,Self catering/rented house,02,Outbound,Thousand,1211
HTA05C1,Number of Trips by Irish Residents,2015,2015,999,Other,01,Domestic,Thousand,564
HTA05C1,Number of Trips by Irish Residents,2015,2015,999,Other,02,Outbound,Thousand,583
HTA05C2,Number of Nights by Irish Residents,2015,2015,-,All types of accommodation,01,Domestic,Thousand,25267
HTA05C2,Number of Nights by Irish Residents,2015,2015,-,All types of accommodation,02,Outbound,Thousand,53515
HTA05C2,Number of Nights by Irish Residents,2015,2015,134,Caravan/camping,01,Domestic,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2015,2015,134,Caravan/camping,02,Outbound,Thousand,NA
HTA05C2,Number of Nights by Irish Residents,2015,2015,222,Friends/relatives,01,Domestic,Thousand,7917
HTA05C2,Number of Nights by Irish Residents,2015,2015,222,Friends/relatives,02,Outbound,Thousand,14341
HTA05C2,Number of Nights by Irish Residents,2015,2015,224,Own holiday home,01,Domestic,Thousand,2942
HTA05C2,Number of Nights by Irish Residents,2015,2015,224,Own holiday home,02,Outbound,Thousand,1390
HTA05C2,Number of Nights by Irish Residents,2015,2015,92,Guest house/bed &breakfast,01,Domestic,Thousand,1007
HTA05C2,Number of Nights by Irish Residents,2015,2015,92,Guest house/bed &breakfast,02,Outbound,Thousand,955
HTA05C2,Number of Nights by Irish Residents,2015,2015,93,Hotel/conference centre,01,Domestic,Thousand,7133
HTA05C2,Number of Nights by Irish Residents,2015,2015,93,Hotel/conference centre,02,Outbound,Thousand,18192
HTA05C2,Number of Nights by Irish Residents,2015,2015,94,Self catering/rented house,01,Domestic,Thousand,3896
HTA05C2,Number of Nights by Irish Residents,2015,2015,94,Self catering/rented house,02,Outbound,Thousand,12151
HTA05C2,Number of Nights by Irish Residents,2015,2015,999,Other,01,Domestic,Thousand,2372
HTA05C2,Number of Nights by Irish Residents,2015,2015,999,Other,02,Outbound,Thousand,6486
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,-,All types of accommodation,01,Domestic,Nights per Trip,2.8
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,-,All types of accommodation,02,Outbound,Nights per Trip,7.5
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,134,Caravan/camping,01,Domestic,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,134,Caravan/camping,02,Outbound,Nights per Trip,NA
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,222,Friends/relatives,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,222,Friends/relatives,02,Outbound,Nights per Trip,8.5
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,224,Own holiday home,01,Domestic,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,224,Own holiday home,02,Outbound,Nights per Trip,12.7
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.1
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.6
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,93,Hotel/conference centre,01,Domestic,Nights per Trip,1.9
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,94,Self catering/rented house,01,Domestic,Nights per Trip,4.7
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,94,Self catering/rented house,02,Outbound,Nights per Trip,10
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,999,Other,01,Domestic,Nights per Trip,4.2
HTA05C3,Average Length of Stay by Irish Residents,2015,2015,999,Other,02,Outbound,Nights per Trip,11.1
