SA2_CODE21,SA2_NAME21,longitude,latitude,CBR_drive_minutes,SYD_drive_minutes,MEL_drive_minutes,CBR_drive_km,SYD_drive_km,MEL_drive_km
120031392,Canterbury (North) - Ashbury,151.1174827993384,-33.90663526,180.06233333333333,18.916999999999998,527.8643333333333,273.21141,11.38428,851.03163
120031393,Croydon Park - Enfield,151.10354352761541,-33.89429809,181.88083333333333,22.010166666666667,529.6826666666667,274.36859000000004,15.37946,852.1888100000001
120031394,Dulwich Hill - Lewisham,151.13956868273914,-33.90186357,183.97866666666667,17.07633333333333,531.7806666666667,275.34813,10.555309999999999,853.16838
120031395,Haberfield - Summer Hill,151.14100434912086,-33.88495063,186.1945,19.693833333333334,533.9965,285.68190999999996,15.36047,863.5021899999999
120031396,Homebush,151.07353091775062,-33.86193881,186.05783333333332,25.526666666666664,533.8598333333333,274.04247,19.65093,851.86275
120031576,Strathfield South,151.0796736663377,-33.89590035,180.845,21.435333333333332,528.647,270.65590999999995,15.3643,848.47613
120031676,Ashfield - North,151.12612226736064,-33.88214046,184.80183333333335,18.301,532.6036666666666,285.01097,14.6895,862.83119
120031677,Ashfield - South,151.12875409249298,-33.89534466,183.75216666666665,20.112333333333332,531.5541666666667,275.08834,11.88806,852.9085600000001
120031678,Burwood (NSW),151.10203879556076,-33.87802312,185.03516666666667,23.522499999999997,532.8371666666667,276.03056,16.941959999999998,853.85081
120031679,Croydon,151.1148143575049,-33.8785329,187.10416666666666,20.622333333333334,534.9061666666666,276.93509,15.41333,854.75531
120031680,Strathfield - East,151.0913937660365,-33.87884013,183.53316666666666,23.733833333333333,531.3351666666666,272.43903,19.24262,850.25925
120031681,Strathfield - West,151.0739935206839,-33.87916766,183.17749999999998,25.7375,530.9795,272.323,17.31732,850.14325
121011399,Chatswood (West) - Lane Cove North,151.1632918802149,-33.80248339,200.2913333333333,33.7905,548.0931666666667,292.07534000000004,21.753880000000002,869.89556
121011401,St Leonards - Naremburn,151.1969317,-33.81800595,200.21716666666669,28.44633333333333,548.0191666666667,292.89719,19.16775,870.7174399999999
121011682,Artarmon,151.18569066476184,-33.80791045,200.81866666666667,30.7215,548.6206666666666,292.69097,20.90547,870.5111899999999
121011683,Castle Cove - Northbridge,151.21536271641767,-33.79819735,206.76749999999998,34.723166666666664,554.5695,296.07478000000003,21.95769,873.8950600000001
121011684,Chatswood - East,151.18713815280267,-33.79367449,203.37150000000003,33.361000000000004,551.1735000000001,293.7145,22.06871,871.53475
121011685,Greenwich - Riverview,151.1873254658957,-33.82921758,200.18416666666664,29.545,547.9860000000001,292.48231,19.585189999999997,870.3025600000001
121011686,Lane Cove,151.16012693830874,-33.81457325,194.7545,28.253833333333333,542.5565,289.59875,19.27731,867.419
